recording,subject,n_drop,trial,method,temporal_r,rmse_uv,sdr_db,n_good
G001Day1Rest2.cnt,G001,48,2,nearest,-0.0668,107.123,-4.79,14
G001Day1Rest2.cnt,G001,48,2,linear,0.9248,5.751,20.612,14
G001Day1Rest2.cnt,G001,48,2,spline,-0.2648,265.938,-12.688,14
G001Day2Rest1.cnt,G001,8,1,nearest,0.7429,223.292,0.288,54
G001Day2Rest1.cnt,G001,8,1,linear,0.9962,4.734,33.761,54
G001Day2Rest1.cnt,G001,8,1,spline,0.465,198.526,1.309,54
G001Day2Rest1.cnt,G001,8,2,nearest,0.2291,338.929,-2.375,54
G001Day2Rest1.cnt,G001,8,2,linear,0.9792,6.721,31.679,54
G001Day2Rest1.cnt,G001,8,2,spline,-0.3013,391.891,-3.636,54
G001Day2Rest1.cnt,G001,16,1,nearest,-0.1661,277.228,-2.727,46
G001Day2Rest1.cnt,G001,16,1,linear,0.9985,6.632,29.698,46
G001Day2Rest1.cnt,G001,16,1,spline,-0.3671,355.536,-4.888,46
G001Day2Rest1.cnt,G001,16,2,nearest,-0.2015,351.63,-3.131,46
G001Day2Rest1.cnt,G001,16,2,linear,0.9972,6.195,31.95,46
G001Day2Rest1.cnt,G001,16,2,spline,0.2616,340.168,-2.844,46
G001Day2Rest1.cnt,G001,24,1,nearest,-0.1639,347.155,-2.008,38
G001Day2Rest1.cnt,G001,24,1,linear,0.9986,8.93,29.785,38
G001Day2Rest1.cnt,G001,24,1,spline,-0.4958,399.34,-3.225,38
G001Day2Rest1.cnt,G001,24,2,nearest,0.1692,309.281,-1.502,38
G001Day2Rest1.cnt,G001,24,2,linear,0.9731,5.907,32.878,38
G001Day2Rest1.cnt,G001,24,2,spline,-0.2997,367.305,-2.995,38
G001Day2Rest1.cnt,G001,32,1,nearest,0.3117,251.405,0.319,30
G001Day2Rest1.cnt,G001,32,1,linear,0.9936,7.877,30.399,30
G001Day2Rest1.cnt,G001,32,1,spline,-0.1734,277.338,-0.534,30
G001Day2Rest1.cnt,G001,32,2,nearest,-0.1791,355.798,-2.598,30
G001Day2Rest1.cnt,G001,32,2,linear,0.9961,7.431,31.005,30
G001Day2Rest1.cnt,G001,32,2,spline,-0.3124,928.74,-10.932,30
G001Day2Rest1.cnt,G001,40,1,nearest,-0.0007,317.586,-2.087,22
G001Day2Rest1.cnt,G001,40,1,linear,0.9933,8.683,29.177,22
G001Day2Rest1.cnt,G001,40,1,spline,-0.0366,397.081,-4.027,22
G001Day2Rest1.cnt,G001,40,2,nearest,0.4006,263.357,-0.793,22
G001Day2Rest1.cnt,G001,40,2,linear,0.9937,8.611,28.917,22
G001Day2Rest1.cnt,G001,40,2,spline,0.2513,634.637,-8.432,22
G001Day2Rest1.cnt,G001,48,1,nearest,0.1543,324.993,-2.365,14
G001Day2Rest1.cnt,G001,48,1,linear,0.9845,8.792,28.991,14
G001Day2Rest1.cnt,G001,48,1,spline,-0.3228,1482.411,-15.547,14
G001Day2Rest1.cnt,G001,48,2,nearest,0.0764,389.992,-4.367,14
G001Day2Rest1.cnt,G001,48,2,linear,0.9845,8.107,29.277,14
G001Day2Rest1.cnt,G001,48,2,spline,-0.3239,1241.443,-14.424,14
