recording,subject,n_drop,trial,method,temporal_r,rmse_uv,sdr_db,n_good
G001Day5Rest2.cnt,G001,32,2,nearest,0.0694,165.694,-2.197,30
G001Day5Rest2.cnt,G001,32,2,linear,0.8536,6.551,25.863,30
G001Day5Rest2.cnt,G001,32,2,spline,0.2016,749.201,-15.303,30
G001Day5Rest2.cnt,G001,40,1,nearest,0.0899,192.564,-3.323,22
G001Day5Rest2.cnt,G001,40,1,linear,0.8868,6.256,26.443,22
G001Day5Rest2.cnt,G001,40,1,spline,0.1928,300.562,-7.19,22
G001Day5Rest2.cnt,G001,40,2,nearest,0.1307,159.318,-2.353,22
G001Day5Rest2.cnt,G001,40,2,linear,0.798,6.544,25.375,22
G001Day5Rest2.cnt,G001,40,2,spline,-0.1148,215.888,-4.992,22
G001Day5Rest2.cnt,G001,48,1,nearest,0.289,145.929,-0.767,14
G001Day5Rest2.cnt,G001,48,1,linear,0.8952,6.499,26.259,14
G001Day5Rest2.cnt,G001,48,1,spline,0.0342,277.822,-6.359,14
G001Day5Rest2.cnt,G001,48,2,nearest,0.1193,158.108,-1.419,14
G001Day5Rest2.cnt,G001,48,2,linear,0.9136,6.353,26.5,14
G001Day5Rest2.cnt,G001,48,2,spline,-0.4052,531.203,-11.945,14
