recording,subject,n_drop,pattern,trial,method,temporal_r,rmse_uv,sdr_db
G001Day5Rest2.cnt,G001,2,scattered,1,linear,0.9903,8.587,26.416
G001Day5Rest2.cnt,G001,2,scattered,1,spline,0.0162,229.597,-2.127
G001Day5Rest2.cnt,G001,2,scattered,2,nearest,-0.0274,341.515,-8.617
G001Day5Rest2.cnt,G001,2,scattered,2,linear,0.9538,5.093,27.911
G001Day5Rest2.cnt,G001,2,scattered,2,spline,-0.0013,139.422,-0.835
G001Day5Rest2.cnt,G001,2,contiguous,1,nearest,0.6636,113.482,-3.29
G001Day5Rest2.cnt,G001,2,contiguous,1,linear,0.7457,6.161,22.016
G001Day5Rest2.cnt,G001,2,contiguous,1,spline,-0.2298,133.535,-4.703
G001Day5Rest2.cnt,G001,2,contiguous,2,nearest,0.9834,58.595,0.023
G001Day5Rest2.cnt,G001,2,contiguous,2,linear,0.978,4.452,22.409
G001Day5Rest2.cnt,G001,2,contiguous,2,spline,0.9777,262.221,-12.993
G001Day5Rest2.cnt,G001,8,scattered,1,nearest,0.072,171.356,-3.713
G001Day5Rest2.cnt,G001,8,scattered,1,linear,0.964,4.65,27.616
G001Day5Rest2.cnt,G001,8,scattered,1,spline,0.492,106.891,0.386
G001Day5Rest2.cnt,G001,8,scattered,2,nearest,0.191,106.529,0.933
G001Day5Rest2.cnt,G001,8,scattered,2,linear,0.9715,5.495,26.683
G001Day5Rest2.cnt,G001,8,scattered,2,spline,-0.1816,161.208,-2.665
G001Day5Rest2.cnt,G001,8,contiguous,1,nearest,0.1385,113.286,-4.083
G001Day5Rest2.cnt,G001,8,contiguous,1,linear,0.6854,4.914,23.171
G001Day5Rest2.cnt,G001,8,contiguous,1,spline,0.4199,99.929,-2.993
G001Day5Rest2.cnt,G001,8,contiguous,2,nearest,0.081,108.751,-3.51
G001Day5Rest2.cnt,G001,8,contiguous,2,linear,0.7909,5.302,22.731
G001Day5Rest2.cnt,G001,8,contiguous,2,spline,-0.0322,84.834,-1.353
G001Day5Rest2.cnt,G001,16,scattered,1,nearest,0.171,164.8,-1.328
G001Day5Rest2.cnt,G001,16,scattered,1,linear,0.8155,5.539,28.142
G001Day5Rest2.cnt,G001,16,scattered,1,spline,0.1065,160.829,-1.116
G001Day5Rest2.cnt,G001,16,scattered,2,nearest,-0.0464,212.438,-4.128
G001Day5Rest2.cnt,G001,16,scattered,2,linear,0.9439,6.377,26.323
G001Day5Rest2.cnt,G001,16,scattered,2,spline,0.2085,152.427,-1.245
G001Day5Rest2.cnt,G001,16,contiguous,1,nearest,0.1786,138.609,0.305
G001Day5Rest2.cnt,G001,16,contiguous,1,linear,0.844,6.099,27.436
G001Day5Rest2.cnt,G001,16,contiguous,1,spline,0.3241,145.628,-0.124
G001Day5Rest2.cnt,G001,16,contiguous,2,nearest,-0.0883,208.434,-4.625
G001Day5Rest2.cnt,G001,16,contiguous,2,linear,0.7895,5.513,26.927
G001Day5Rest2.cnt,G001,16,contiguous,2,spline,0.477,163.174,-2.498
G002Day1Rest1.cnt,G002,2,scattered,1,nearest,0.0016,212.479,-3.981
G002Day1Rest1.cnt,G002,2,scattered,1,linear,0.9975,6.34,26.523
G002Day1Rest1.cnt,G002,2,scattered,1,spline,-0.0613,197.678,-3.354
G002Day1Rest1.cnt,G002,2,scattered,2,nearest,-0.623,43.638,-3.279
G002Day1Rest1.cnt,G002,2,scattered,2,linear,0.9053,7.007,12.608
G002Day1Rest1.cnt,G002,2,scattered,2,spline,0.1056,63.792,-6.577
G002Day1Rest1.cnt,G002,2,contiguous,1,nearest,-0.8731,146.66,-7.557
G002Day1Rest1.cnt,G002,2,contiguous,1,linear,0.9637,13.243,13.33
G002Day1Rest1.cnt,G002,2,contiguous,1,spline,-0.9051,167.244,-8.698
G002Day1Rest1.cnt,G002,2,contiguous,2,nearest,0.9956,81.669,4.937
G002Day1Rest1.cnt,G002,2,contiguous,2,linear,0.9968,5.977,27.648
G002Day1Rest1.cnt,G002,2,contiguous,2,spline,0.9968,57.067,8.051
G002Day1Rest1.cnt,G002,8,scattered,1,nearest,0.1558,124.982,-1.085
G002Day1Rest1.cnt,G002,8,scattered,1,linear,0.9812,6.546,24.533
G002Day1Rest1.cnt,G002,8,scattered,1,spline,0.2788,102.939,0.6
G002Day1Rest1.cnt,G002,8,scattered,2,nearest,0.3821,97.648,-6.296
G002Day1Rest1.cnt,G002,8,scattered,2,linear,0.9234,5.424,18.81
G002Day1Rest1.cnt,G002,8,scattered,2,spline,0.3102,62.638,-2.44
G002Day1Rest1.cnt,G002,8,contiguous,1,nearest,0.475,113.742,-0.814
G002Day1Rest1.cnt,G002,8,contiguous,1,linear,0.9414,6.341,24.262
G002Day1Rest1.cnt,G002,8,contiguous,1,spline,-0.1267,123.183,-1.506
G002Day1Rest1.cnt,G002,8,contiguous,2,nearest,0.2319,97.756,-0.105
G002Day1Rest1.cnt,G002,8,contiguous,2,linear,0.9811,6.008,24.123
G002Day1Rest1.cnt,G002,8,contiguous,2,spline,0.5333,69.53,2.854
G002Day1Rest1.cnt,G002,16,scattered,1,nearest,0.2123,108.115,-2.345
G002Day1Rest1.cnt,G002,16,scattered,1,linear,0.9235,5.859,22.975
G002Day1Rest1.cnt,G002,16,scattered,1,spline,0.2279,82.642,-0.012
G002Day1Rest1.cnt,G002,16,scattered,2,nearest,0.2341,131.059,-3.208
G002Day1Rest1.cnt,G002,16,scattered,2,linear,0.9582,6.666,22.665
G002Day1Rest1.cnt,G002,16,scattered,2,spline,0.0399,95.117,-0.424
G002Day1Rest1.cnt,G002,16,contiguous,1,nearest,0.0256,154.085,-3.406
G002Day1Rest1.cnt,G002,16,contiguous,1,linear,0.9616,7.746,22.567
G002Day1Rest1.cnt,G002,16,contiguous,1,spline,-0.4917,192.677,-5.348
G002Day1Rest1.cnt,G002,16,contiguous,2,nearest,0.2951,144.011,-2.43
G002Day1Rest1.cnt,G002,16,contiguous,2,linear,0.9883,7.658,23.056
G002Day1Rest1.cnt,G002,16,contiguous,2,spline,0.3582,134.521,-1.838
G002Day1Rest2.cnt,G002,2,scattered,1,nearest,0.8025,4.298,4.194
G002Day1Rest2.cnt,G002,2,scattered,1,linear,0.9113,2.734,8.121
G002Day1Rest2.cnt,G002,2,scattered,1,spline,0.8946,3.368,6.311
G002Day1Rest2.cnt,G002,2,scattered,2,nearest,0.5353,6.887,-0.605
G002Day1Rest2.cnt,G002,2,scattered,2,linear,0.6691,4.507,3.078
G002Day1Rest2.cnt,G002,2,scattered,2,spline,0.5751,6.863,-0.574
G002Day1Rest2.cnt,G002,2,contiguous,1,nearest,0.734,3.732,2.834
G002Day1Rest2.cnt,G002,2,contiguous,1,linear,0.9874,0.804,16.166
G002Day1Rest2.cnt,G002,2,contiguous,1,spline,0.9711,1.382,11.463
G002Day1Rest2.cnt,G002,2,contiguous,2,nearest,0.8195,4.353,4.774
G002Day1Rest2.cnt,G002,2,contiguous,2,linear,0.9607,2.092,11.14
G002Day1Rest2.cnt,G002,2,contiguous,2,spline,0.9454,2.608,9.225
G002Day1Rest2.cnt,G002,8,scattered,1,nearest,0.8234,3.66,5.107
G002Day1Rest2.cnt,G002,8,scattered,1,linear,0.9648,1.672,11.912
G002Day1Rest2.cnt,G002,8,scattered,1,spline,0.9315,2.268,9.263
G002Day1Rest2.cnt,G002,8,scattered,2,nearest,0.8188,4.269,4.125
G002Day1Rest2.cnt,G002,8,scattered,2,linear,0.9425,2.32,9.421
G002Day1Rest2.cnt,G002,8,scattered,2,spline,0.905,2.908,7.46
G002Day1Rest2.cnt,G002,8,contiguous,1,nearest,0.791,3.8,3.446
G002Day1Rest2.cnt,G002,8,contiguous,1,linear,0.9543,1.734,10.261
G002Day1Rest2.cnt,G002,8,contiguous,1,spline,0.8842,3.486,4.196
G002Day1Rest2.cnt,G002,8,contiguous,2,nearest,0.5685,8.063,0.304
G002Day1Rest2.cnt,G002,8,contiguous,2,linear,0.7628,5.482,3.655
G002Day1Rest2.cnt,G002,8,contiguous,2,spline,0.6049,7.23,1.251
G002Day1Rest2.cnt,G002,16,scattered,1,nearest,0.7121,5.679,2.687
G002Day1Rest2.cnt,G002,16,scattered,1,linear,0.8647,3.782,6.218
G002Day1Rest2.cnt,G002,16,scattered,1,spline,0.7987,4.588,4.539
G002Day1Rest2.cnt,G002,16,scattered,2,nearest,0.7508,4.933,2.85
G002Day1Rest2.cnt,G002,16,scattered,2,linear,0.8862,3.443,5.973
G002Day1Rest2.cnt,G002,16,scattered,2,spline,0.8454,3.948,4.785
G002Day1Rest2.cnt,G002,16,contiguous,1,nearest,0.7444,5.421,3.029
G002Day1Rest2.cnt,G002,16,contiguous,1,linear,0.8939,3.5,6.829
G002Day1Rest2.cnt,G002,16,contiguous,1,spline,0.769,5.324,3.185
G002Day1Rest2.cnt,G002,16,contiguous,2,nearest,0.6674,6.71,0.411
G002Day1Rest2.cnt,G002,16,contiguous,2,linear,0.802,4.291,4.294
G002Day1Rest2.cnt,G002,16,contiguous,2,spline,0.7646,5.16,2.693
G002Day2Rest1.cnt,G002,2,scattered,1,nearest,-0.4301,57.047,-0.579
G002Day2Rest1.cnt,G002,2,scattered,1,linear,0.9834,4.748,21.016
G002Day2Rest1.cnt,G002,2,scattered,1,spline,0.9819,41.353,2.216
G002Day2Rest1.cnt,G002,2,scattered,2,nearest,-0.0065,80.604,-3.747
G002Day2Rest1.cnt,G002,2,scattered,2,linear,0.9536,4.823,20.714
G002Day2Rest1.cnt,G002,2,scattered,2,spline,0.579,38.828,2.597
G002Day2Rest1.cnt,G002,2,contiguous,1,nearest,0.1548,63.862,1.316
G002Day2Rest1.cnt,G002,2,contiguous,1,linear,0.9921,5.004,23.435
G002Day2Rest1.cnt,G002,2,contiguous,1,spline,0.8282,69.357,0.599
G002Day2Rest1.cnt,G002,2,contiguous,2,nearest,0.2638,21.857,4.876
G002Day2Rest1.cnt,G002,2,contiguous,2,linear,0.9661,4.725,18.18
G002Day2Rest1.cnt,G002,2,contiguous,2,spline,0.7777,32.259,1.495
G002Day2Rest1.cnt,G002,8,scattered,1,nearest,0.5024,62.585,-0.014
G002Day2Rest1.cnt,G002,8,scattered,1,linear,0.9882,4.39,23.066
G002Day2Rest1.cnt,G002,8,scattered,1,spline,0.6973,55.103,1.091
G002Day2Rest1.cnt,G002,8,scattered,2,nearest,0.3922,78.693,-3.861
G002Day2Rest1.cnt,G002,8,scattered,2,linear,0.9642,4.642,20.725
G002Day2Rest1.cnt,G002,8,scattered,2,spline,0.1278,55.897,-0.89
G002Day2Rest1.cnt,G002,8,contiguous,1,nearest,0.394,99.66,-3.514
G002Day2Rest1.cnt,G002,8,contiguous,1,linear,0.9793,6.528,20.161
G002Day2Rest1.cnt,G002,8,contiguous,1,spline,-0.4027,127.788,-5.673
G002Day2Rest1.cnt,G002,8,contiguous,2,nearest,0.1852,68.51,-0.708
G002Day2Rest1.cnt,G002,8,contiguous,2,linear,0.9922,4.853,22.286
G002Day2Rest1.cnt,G002,8,contiguous,2,spline,0.2166,60.534,0.367
G002Day2Rest1.cnt,G002,16,scattered,1,nearest,0.2143,76.984,-1.461
G002Day2Rest1.cnt,G002,16,scattered,1,linear,0.9921,4.935,22.401
G002Day2Rest1.cnt,G002,16,scattered,1,spline,0.4652,60.445,0.64
G002Day2Rest1.cnt,G002,16,scattered,2,nearest,0.0436,78.487,-3.052
G002Day2Rest1.cnt,G002,16,scattered,2,linear,0.9631,4.76,21.292
G002Day2Rest1.cnt,G002,16,scattered,2,spline,0.4407,58.663,-0.523
G002Day2Rest1.cnt,G002,16,contiguous,1,nearest,0.1759,71.878,-4.33
G002Day2Rest1.cnt,G002,16,contiguous,1,linear,0.939,5.233,18.428
G002Day2Rest1.cnt,G002,16,contiguous,1,spline,0.2231,71.861,-4.328
G002Day2Rest1.cnt,G002,16,contiguous,2,nearest,-0.2458,82.645,-2.723
G002Day2Rest1.cnt,G002,16,contiguous,2,linear,0.9616,5.822,20.32
G002Day2Rest1.cnt,G002,16,contiguous,2,spline,-0.0566,69.319,-1.196
G002Day2Rest2.cnt,G002,2,scattered,1,nearest,0.9691,1.854,12.72
G002Day2Rest2.cnt,G002,2,scattered,1,linear,0.9931,0.882,19.177
G002Day2Rest2.cnt,G002,2,scattered,1,spline,0.979,1.557,14.237
G002Day2Rest2.cnt,G002,2,scattered,2,nearest,0.821,3.591,4.868
G002Day2Rest2.cnt,G002,2,scattered,2,linear,0.9756,1.427,12.886
G002Day2Rest2.cnt,G002,2,scattered,2,spline,0.9678,1.723,11.248
G002Day2Rest2.cnt,G002,2,contiguous,1,nearest,0.9311,2.61,6.749
G002Day2Rest2.cnt,G002,2,contiguous,1,linear,0.9893,0.836,16.637
G002Day2Rest2.cnt,G002,2,contiguous,1,spline,0.9849,1.055,14.616
G002Day2Rest2.cnt,G002,2,contiguous,2,nearest,0.7998,4.325,2.885
G002Day2Rest2.cnt,G002,2,contiguous,2,linear,0.9382,2.063,9.313
G002Day2Rest2.cnt,G002,2,contiguous,2,spline,0.9301,2.297,8.381
G002Day2Rest2.cnt,G002,8,scattered,1,nearest,0.8766,3.185,6.034
G002Day2Rest2.cnt,G002,8,scattered,1,linear,0.9634,1.732,11.324
G002Day2Rest2.cnt,G002,8,scattered,1,spline,0.9478,2.101,9.646
G002Day2Rest2.cnt,G002,8,scattered,2,nearest,0.8538,3.779,4.839
G002Day2Rest2.cnt,G002,8,scattered,2,linear,0.9461,2.41,8.747
G002Day2Rest2.cnt,G002,8,scattered,2,spline,0.9363,2.621,8.017
G002Day2Rest2.cnt,G002,8,contiguous,1,nearest,0.6336,6.79,1.209
G002Day2Rest2.cnt,G002,8,contiguous,1,linear,0.8026,5.036,3.806
G002Day2Rest2.cnt,G002,8,contiguous,1,spline,0.7485,5.672,2.772
G002Day2Rest2.cnt,G002,8,contiguous,2,nearest,0.8948,3.822,6.747
G002Day2Rest2.cnt,G002,8,contiguous,2,linear,0.9653,2.204,11.528
G002Day2Rest2.cnt,G002,8,contiguous,2,spline,0.9576,2.482,10.498
G002Day2Rest2.cnt,G002,16,scattered,1,nearest,0.8109,4.405,4.092
G002Day2Rest2.cnt,G002,16,scattered,1,linear,0.9339,2.872,7.807
G002Day2Rest2.cnt,G002,16,scattered,1,spline,0.8542,4.013,4.902
G002Day2Rest2.cnt,G002,16,scattered,2,nearest,0.7757,4.333,3.769
G002Day2Rest2.cnt,G002,16,scattered,2,linear,0.9298,2.293,9.298
G002Day2Rest2.cnt,G002,16,scattered,2,spline,0.8686,3.434,5.79
G002Day2Rest2.cnt,G002,16,contiguous,1,nearest,0.7498,5.407,2.744
G002Day2Rest2.cnt,G002,16,contiguous,1,linear,0.8767,3.919,5.54
G002Day2Rest2.cnt,G002,16,contiguous,1,spline,0.8211,4.675,4.008
G002Day2Rest2.cnt,G002,16,contiguous,2,nearest,0.6366,7.046,-0.495
G002Day2Rest2.cnt,G002,16,contiguous,2,linear,0.8482,3.698,5.103
G002Day2Rest2.cnt,G002,16,contiguous,2,spline,0.7418,5.229,2.095
G002Day3Rest1.cnt,G002,2,scattered,1,nearest,0.0514,62.828,-0.66
G002Day3Rest1.cnt,G002,2,scattered,1,linear,0.9974,4.236,22.764
G002Day3Rest1.cnt,G002,2,scattered,1,spline,0.0734,55.712,0.384
G002Day3Rest1.cnt,G002,2,scattered,2,nearest,-0.9158,62.592,-7.983
G002Day3Rest1.cnt,G002,2,scattered,2,linear,0.968,4.653,14.593
G002Day3Rest1.cnt,G002,2,scattered,2,spline,0.0317,36.098,-3.202
G002Day3Rest1.cnt,G002,2,contiguous,1,nearest,-0.9297,68.784,-8.75
G002Day3Rest1.cnt,G002,2,contiguous,1,linear,0.9766,5.136,13.788
G002Day3Rest1.cnt,G002,2,contiguous,1,spline,0.0055,36.561,-3.261
G002Day3Rest1.cnt,G002,2,contiguous,2,nearest,0.9398,44.17,-1.249
G002Day3Rest1.cnt,G002,2,contiguous,2,linear,0.9468,4.898,17.853
G002Day3Rest1.cnt,G002,2,contiguous,2,spline,0.9485,35.555,0.636
G002Day3Rest1.cnt,G002,8,scattered,1,nearest,0.0919,62.209,-0.683
G002Day3Rest1.cnt,G002,8,scattered,1,linear,0.9717,4.229,22.669
G002Day3Rest1.cnt,G002,8,scattered,1,spline,0.118,58.286,-0.117
G002Day3Rest1.cnt,G002,8,scattered,2,nearest,-0.5337,65.949,-2.046
G002Day3Rest1.cnt,G002,8,scattered,2,linear,0.9616,4.704,20.888
G002Day3Rest1.cnt,G002,8,scattered,2,spline,-0.0909,54.585,-0.404
G002Day3Rest1.cnt,G002,8,contiguous,1,nearest,0.2674,61.21,-1.355
G002Day3Rest1.cnt,G002,8,contiguous,1,linear,0.9569,5.767,19.162
G002Day3Rest1.cnt,G002,8,contiguous,1,spline,0.2696,65.512,-1.945
G002Day3Rest1.cnt,G002,8,contiguous,2,nearest,0.5008,55.405,-0.101
G002Day3Rest1.cnt,G002,8,contiguous,2,linear,0.9909,4.36,21.98
G002Day3Rest1.cnt,G002,8,contiguous,2,spline,0.0212,62.148,-1.098
G002Day3Rest1.cnt,G002,16,scattered,1,nearest,-0.0558,69.523,-3.318
G002Day3Rest1.cnt,G002,16,scattered,1,linear,0.9687,4.952,19.629
G002Day3Rest1.cnt,G002,16,scattered,1,spline,0.0484,66.54,-2.937
G002Day3Rest1.cnt,G002,16,scattered,2,nearest,-0.2072,74.752,-2.977
G002Day3Rest1.cnt,G002,16,scattered,2,linear,0.9886,4.92,20.656
G002Day3Rest1.cnt,G002,16,scattered,2,spline,-0.2603,64.364,-1.677
G002Day3Rest1.cnt,G002,16,contiguous,1,nearest,0.061,65.855,-3.791
G002Day3Rest1.cnt,G002,16,contiguous,1,linear,0.9634,5.315,18.07
G002Day3Rest1.cnt,G002,16,contiguous,1,spline,0.0283,60.298,-3.025
G002Day3Rest1.cnt,G002,16,contiguous,2,nearest,0.1415,78.264,-3.95
G002Day3Rest1.cnt,G002,16,contiguous,2,linear,0.9733,5.526,19.072
G002Day3Rest1.cnt,G002,16,contiguous,2,spline,0.1356,62.589,-2.009
G002Day3Rest2.cnt,G002,2,scattered,1,nearest,0.0054,150.696,-2.997
G002Day3Rest2.cnt,G002,2,scattered,1,linear,0.997,5.942,25.087
G002Day3Rest2.cnt,G002,2,scattered,1,spline,0.9982,44.298,7.638
G002Day3Rest2.cnt,G002,2,scattered,2,nearest,0.9608,143.238,0.68
G002Day3Rest2.cnt,G002,2,scattered,2,linear,0.9971,3.921,31.932
G002Day3Rest2.cnt,G002,2,scattered,2,spline,0.9975,104.45,3.423
G002Day3Rest2.cnt,G002,2,contiguous,1,nearest,-0.7161,193.664,-6.365
G002Day3Rest2.cnt,G002,2,contiguous,1,linear,0.8238,7.784,21.552
G002Day3Rest2.cnt,G002,2,contiguous,1,spline,0.2587,182.291,-5.84
G002Day3Rest2.cnt,G002,2,contiguous,2,nearest,-0.0255,346.148,-3.644
G002Day3Rest2.cnt,G002,2,contiguous,2,linear,0.9712,5.029,33.112
G002Day3Rest2.cnt,G002,2,contiguous,2,spline,0.9794,180.651,2.005
G002Day3Rest2.cnt,G002,8,scattered,1,nearest,0.1733,151.033,0.276
G002Day3Rest2.cnt,G002,8,scattered,1,linear,0.9374,5.768,28.638
G002Day3Rest2.cnt,G002,8,scattered,1,spline,0.1871,141.911,0.818
G002Day3Rest2.cnt,G002,8,scattered,2,nearest,-0.155,220.858,-1.728
G002Day3Rest2.cnt,G002,8,scattered,2,linear,0.9564,6.699,28.634
G002Day3Rest2.cnt,G002,8,scattered,2,spline,0.7012,145.379,1.905
G002Day3Rest2.cnt,G002,8,contiguous,1,nearest,0.0106,181.249,-0.382
G002Day3Rest2.cnt,G002,8,contiguous,1,linear,0.9766,6.076,29.111
G002Day3Rest2.cnt,G002,8,contiguous,1,spline,0.5004,143.364,1.654
G002Day3Rest2.cnt,G002,8,contiguous,2,nearest,0.6447,138.836,2.687
G002Day3Rest2.cnt,G002,8,contiguous,2,linear,0.9493,6.354,29.476
G002Day3Rest2.cnt,G002,8,contiguous,2,spline,0.2076,179.382,0.461
G002Day3Rest2.cnt,G002,16,scattered,1,nearest,0.2189,174.146,-0.62
G002Day3Rest2.cnt,G002,16,scattered,1,linear,0.9279,6.292,28.223
G002Day3Rest2.cnt,G002,16,scattered,1,spline,0.3978,142.598,1.116
G002Day3Rest2.cnt,G002,16,scattered,2,nearest,0.3683,149.092,-0.047
G002Day3Rest2.cnt,G002,16,scattered,2,linear,0.9766,6.312,27.419
G002Day3Rest2.cnt,G002,16,scattered,2,spline,0.2297,136.318,0.731
G002Day3Rest2.cnt,G002,16,contiguous,1,nearest,0.6356,108.837,4.621
G002Day3Rest2.cnt,G002,16,contiguous,1,linear,0.9925,5.354,30.783
G002Day3Rest2.cnt,G002,16,contiguous,1,spline,0.2829,184.48,0.037
G002Day3Rest2.cnt,G002,16,contiguous,2,nearest,0.5216,158.63,0.292
G002Day3Rest2.cnt,G002,16,contiguous,2,linear,0.9832,6.029,28.695
G002Day3Rest2.cnt,G002,16,contiguous,2,spline,0.8644,92.802,4.949
G002Day4Rest1.cnt,G002,2,scattered,1,nearest,0.2671,59.685,0.653
G002Day4Rest1.cnt,G002,2,scattered,1,linear,0.996,3.423,25.481
G002Day4Rest1.cnt,G002,2,scattered,1,spline,0.6184,53.609,1.585
G002Day4Rest1.cnt,G002,2,scattered,2,nearest,0.1985,47.045,0.457
G002Day4Rest1.cnt,G002,2,scattered,2,linear,0.9747,4.144,21.558
G002Day4Rest1.cnt,G002,2,scattered,2,spline,0.9308,28.15,4.918
G002Day4Rest1.cnt,G002,2,contiguous,1,nearest,0.2006,44.941,-2.852
G002Day4Rest1.cnt,G002,2,contiguous,1,linear,0.8584,5.477,15.429
G002Day4Rest1.cnt,G002,2,contiguous,1,spline,-0.6904,63.453,-5.848
G002Day4Rest1.cnt,G002,2,contiguous,2,nearest,0.991,24.512,6.432
G002Day4Rest1.cnt,G002,2,contiguous,2,linear,0.9889,3.113,24.356
G002Day4Rest1.cnt,G002,2,contiguous,2,spline,0.9759,29.468,4.832
G002Day4Rest1.cnt,G002,8,scattered,1,nearest,0.2694,57.475,-1.004
G002Day4Rest1.cnt,G002,8,scattered,1,linear,0.977,4.348,21.419
G002Day4Rest1.cnt,G002,8,scattered,1,spline,0.6817,41.14,1.9
G002Day4Rest1.cnt,G002,8,scattered,2,nearest,0.6147,40.965,1.725
G002Day4Rest1.cnt,G002,8,scattered,2,linear,0.9322,3.707,22.592
G002Day4Rest1.cnt,G002,8,scattered,2,spline,0.6597,31.232,4.082
G002Day4Rest1.cnt,G002,8,contiguous,1,nearest,0.6498,34.218,2.979
G002Day4Rest1.cnt,G002,8,contiguous,1,linear,0.9359,4.734,20.159
G002Day4Rest1.cnt,G002,8,contiguous,1,spline,0.7986,29.362,4.308
G002Day4Rest1.cnt,G002,8,contiguous,2,nearest,0.7091,31.327,-3.218
G002Day4Rest1.cnt,G002,8,contiguous,2,linear,0.8143,4.736,13.192
G002Day4Rest1.cnt,G002,8,contiguous,2,spline,0.787,15.435,2.93
G002Day4Rest1.cnt,G002,16,scattered,1,nearest,0.3857,42.968,0.13
G002Day4Rest1.cnt,G002,16,scattered,1,linear,0.9304,4.817,19.138
G002Day4Rest1.cnt,G002,16,scattered,1,spline,0.4951,40.06,0.738
G002Day4Rest1.cnt,G002,16,scattered,2,nearest,0.4134,32.818,0.643
G002Day4Rest1.cnt,G002,16,scattered,2,linear,0.9316,4.116,18.674
G002Day4Rest1.cnt,G002,16,scattered,2,spline,0.634,30.07,1.402
G002Day4Rest1.cnt,G002,16,contiguous,1,nearest,0.6381,53.545,-2.648
G002Day4Rest1.cnt,G002,16,contiguous,1,linear,0.8761,5.313,17.419
G002Day4Rest1.cnt,G002,16,contiguous,1,spline,0.8291,64.363,-4.247
G002Day4Rest1.cnt,G002,16,contiguous,2,nearest,0.1229,49.309,-0.626
G002Day4Rest1.cnt,G002,16,contiguous,2,linear,0.9154,4.419,20.326
G002Day4Rest1.cnt,G002,16,contiguous,2,spline,0.8975,28.686,4.079
G002Day4Rest2.cnt,G002,2,scattered,1,nearest,0.9946,47.452,6.936
G002Day4Rest2.cnt,G002,2,scattered,1,linear,0.9979,3.977,28.47
G002Day4Rest2.cnt,G002,2,scattered,1,spline,0.9956,41.748,8.048
G002Day4Rest2.cnt,G002,2,scattered,2,nearest,0.2197,57.095,4.556
G002Day4Rest2.cnt,G002,2,scattered,2,linear,0.9136,5.602,24.722
G002Day4Rest2.cnt,G002,2,scattered,2,spline,0.1211,63.094,3.688
G002Day4Rest2.cnt,G002,2,contiguous,1,nearest,-0.2739,143.296,-11.235
G002Day4Rest2.cnt,G002,2,contiguous,1,linear,0.781,9.229,12.587
G002Day4Rest2.cnt,G002,2,contiguous,1,spline,-0.7285,142.019,-11.157
G002Day4Rest2.cnt,G002,2,contiguous,2,nearest,0.999,42.843,9.773
G002Day4Rest2.cnt,G002,2,contiguous,2,linear,0.9987,4.078,30.202
G002Day4Rest2.cnt,G002,2,contiguous,2,spline,0.9159,95.071,2.85
G002Day4Rest2.cnt,G002,8,scattered,1,nearest,0.349,57.825,4.037
G002Day4Rest2.cnt,G002,8,scattered,1,linear,0.9269,5.392,24.644
G002Day4Rest2.cnt,G002,8,scattered,1,spline,0.4609,94.727,-0.251
G002Day4Rest2.cnt,G002,8,scattered,2,nearest,0.4315,125.18,-4.828
G002Day4Rest2.cnt,G002,8,scattered,2,linear,0.9554,5.557,22.225
G002Day4Rest2.cnt,G002,8,scattered,2,spline,0.5248,82.085,-1.163
G002Day4Rest2.cnt,G002,8,contiguous,1,nearest,0.6496,94.649,1.717
G002Day4Rest2.cnt,G002,8,contiguous,1,linear,0.8906,6.958,24.389
G002Day4Rest2.cnt,G002,8,contiguous,1,spline,0.6437,148.934,-2.221
G002Day4Rest2.cnt,G002,8,contiguous,2,nearest,0.3337,62.866,1.109
G002Day4Rest2.cnt,G002,8,contiguous,2,linear,0.9159,6.151,21.299
G002Day4Rest2.cnt,G002,8,contiguous,2,spline,0.0281,89.104,-1.92
G002Day4Rest2.cnt,G002,16,scattered,1,nearest,0.1526,121.393,-0.783
G002Day4Rest2.cnt,G002,16,scattered,1,linear,0.9633,6.677,24.41
G002Day4Rest2.cnt,G002,16,scattered,1,spline,0.2685,111.669,-0.058
G002Day4Rest2.cnt,G002,16,scattered,2,nearest,0.3886,107.11,-0.593
G002Day4Rest2.cnt,G002,16,scattered,2,linear,0.9653,6.988,23.117
G002Day4Rest2.cnt,G002,16,scattered,2,spline,0.3628,109.255,-0.765
G002Day4Rest2.cnt,G002,16,contiguous,1,nearest,0.2778,113.016,-1.446
G002Day4Rest2.cnt,G002,16,contiguous,1,linear,0.9066,6.402,23.491
G002Day4Rest2.cnt,G002,16,contiguous,1,spline,0.6222,154.091,-4.139
G002Day4Rest2.cnt,G002,16,contiguous,2,nearest,0.7411,110.899,1.908
G002Day4Rest2.cnt,G002,16,contiguous,2,linear,0.9778,6.518,26.523
G002Day4Rest2.cnt,G002,16,contiguous,2,spline,0.7483,114.707,1.615
G003Day1Rest1.cnt,G003,2,scattered,1,nearest,-0.943,96.124,-11.267
G003Day1Rest1.cnt,G003,2,scattered,1,linear,0.9653,5.341,13.837
G003Day1Rest1.cnt,G003,2,scattered,1,spline,0.0376,62.09,-7.471
G003Day1Rest1.cnt,G003,2,scattered,2,nearest,-0.1019,141.671,-5.156
G003Day1Rest1.cnt,G003,2,scattered,2,linear,0.9801,8.291,19.497
G003Day1Rest1.cnt,G003,2,scattered,2,spline,-0.9405,121.459,-3.819
G003Day1Rest1.cnt,G003,2,contiguous,1,nearest,0.9968,26.064,8.255
G003Day1Rest1.cnt,G003,2,contiguous,1,linear,0.9847,8.327,18.166
