recording,subject,n_drop,pattern,trial,method,temporal_r,rmse_uv,sdr_db
G001Day1Rest2.cnt,G001,16,scattered,2,spline,-0.1264,74.696,-4.072
G001Day1Rest2.cnt,G001,16,contiguous,1,nearest,0.4988,79.862,-1.358
G001Day1Rest2.cnt,G001,16,contiguous,1,linear,0.8876,3.967,24.718
G001Day1Rest2.cnt,G001,16,contiguous,1,spline,0.221,90.14,-2.41
G001Day1Rest2.cnt,G001,16,contiguous,2,nearest,-0.2944,94.39,-2.299
G001Day1Rest2.cnt,G001,16,contiguous,2,linear,0.9736,3.765,25.685
G001Day1Rest2.cnt,G001,16,contiguous,2,spline,-0.0327,99.212,-2.732
G001Day2Rest1.cnt,G001,2,scattered,1,nearest,-0.9966,309.876,-9.073
G001Day2Rest1.cnt,G001,2,scattered,1,linear,0.9994,3.644,29.52
G001Day2Rest1.cnt,G001,2,scattered,1,spline,0.9993,55.234,5.906
G001Day2Rest1.cnt,G001,2,scattered,2,nearest,-0.0836,312.254,-7.313
G001Day2Rest1.cnt,G001,2,scattered,2,linear,0.9374,5.047,28.516
G001Day2Rest1.cnt,G001,2,scattered,2,spline,-0.08,228.401,-4.597
G001Day2Rest1.cnt,G001,2,contiguous,1,nearest,0.9993,93.758,1.514
G001Day2Rest1.cnt,G001,2,contiguous,1,linear,0.9989,6.059,25.305
G001Day2Rest1.cnt,G001,2,contiguous,1,spline,0.0012,265.574,-7.53
G001Day2Rest1.cnt,G001,2,contiguous,2,nearest,0.0001,640.375,-4.239
G001Day2Rest1.cnt,G001,2,contiguous,2,linear,0.9999,4.395,39.03
G001Day2Rest1.cnt,G001,2,contiguous,2,spline,0.0001,523.4,-2.487
G001Day2Rest1.cnt,G001,8,scattered,1,nearest,0.4828,296.859,-2.628
G001Day2Rest1.cnt,G001,8,scattered,1,linear,0.9805,6.529,30.526
G001Day2Rest1.cnt,G001,8,scattered,1,spline,0.728,207.922,0.465
G001Day2Rest1.cnt,G001,8,scattered,2,nearest,0.2496,322.374,-1.388
G001Day2Rest1.cnt,G001,8,scattered,2,linear,0.9996,5.283,34.322
G001Day2Rest1.cnt,G001,8,scattered,2,spline,0.0116,275.623,-0.027
G001Day2Rest1.cnt,G001,8,contiguous,1,nearest,0.7429,223.292,0.288
G001Day2Rest1.cnt,G001,8,contiguous,1,linear,0.9962,4.734,33.761
G001Day2Rest1.cnt,G001,8,contiguous,1,spline,0.465,198.526,1.309
G001Day2Rest1.cnt,G001,8,contiguous,2,nearest,0.2291,338.929,-2.375
G001Day2Rest1.cnt,G001,8,contiguous,2,linear,0.9792,6.721,31.679
